100	0	0	1	0.0000	0.00
100	0	0	2	0.2143	0.00
100	0.1	0	1	0.0000	0.00
100	0.1	0	2	0.2353	0.00
100	0.2	0	1	0.0000	0.00
100	0.2	0	2	0.2105	0.00
100	0.4	0	1	0.0000	0.00
100	0.4	0	2	0.1905	0.00
200	0	0	1	0.0000	0.00
200	0	0	2	0.1905	0.00
200	0.1	0	1	0.0000	0.00
200	0.1	0	2	0.1905	0.00
200	0.2	0	1	0.0000	0.00
200	0.2	0	2	0.1905	0.00
200	0.4	0	1	0.0000	0.00
200	0.4	0	2	0.2222	0.00
400	0	0	1	0.0000	0.00
400	0	0	2	0.2222	0.00
400	0.1	0	1	0.0000	0.00
400	0.1	0	2	0.2222	0.00
400	0.2	0	1	0.0000	0.00
400	0.2	0	2	0.2222	0.00
400	0.4	0	1	0.0000	0.00
400	0.4	0	2	0.2222	0.00
800	0	0	1	0.0000	0.00
800	0	0	2	0.2222	0.00
800	0.1	0	1	0.0000	0.00
800	0.1	0	2	0.2222	0.00
800	0.2	0	1	0.0000	0.00
800	0.2	0	2	0.2222	0.00
800	0.4	0	1	0.0000	0.00
800	0.4	0	2	0.2222	0.00
